日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分,JCN,法人番号,住所,法人名,法人名(カナ),更新日時,企業ホームページ,事業概要,従業員数,代表者名,特許情報
20230929,1333,マルハニチロ,プライム（内国株式）,50,水産・農林業,1,食品 ,4,TOPIX Mid400,2010601040697,2010601040697,東京都江東区豊洲３丁目２番２０号,マルハニチロ株式会社,まるはにちろ,2018-04-09T00:00:00+09:00,https://www.maruha-nichiro.co.jp/corporate/sustainability/social_value/employee/diversity/,漁業、養殖、水産物の輸出入・加工・販売、冷凍食品・レトルト食品・缶詰・練り製品・化成品・飲料の製造・加工・販売、食肉・飼料原料の輸入、食肉製造・加工・販売,1640,代表取締役社長  池見  賢,特許 78件（ケーシング詰め米飯食品及びその製造方法 / クリームコロッケ及びその製造方法並びにクリームコロッケの具 / 乾燥食品の製造方法 / 成形肉冷凍食品及びその製造方法 / ブリ属養殖魚及びブリ属養殖魚の育成方法 他） 意匠 3件（えび肉加熱体 / 食品包装用トレイ / ちくわ） 商標 134件（§AX / Steam Quality / 豊洲\場外 / 太陽のハーブ鶏 / アトランド 他）
20230929,1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1346,ＭＡＸＩＳ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1348,ＭＡＸＩＳ　トピックス上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1349,ＡＢＦ汎アジア債券インデックス・ファンド,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1356,ＴＯＰＩＸベア２倍上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1358,上場インデックスファンド日経レバレッジ指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1360,日経平均ベア２倍上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1369,Ｏｎｅ　ＥＴＦ　日経２２５,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1375,雪国まいたけ,プライム（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,1010001185037,1010001185037,新潟県南魚沼市余川８９番地,株式会社雪国まいたけ,ゆきぐにまいたけ,2023-04-21T00:00:00+09:00,,まいたけ、えりんぎ、ぶなしめじ等の生産販売及びきのこの加工食品の製造販売,1926,代表取締役社長　　湯澤　尚史,商標 19件（雪国まいたけ / うちかつ! / §La Ferme du Mitukura / ハッピーパック\HAPPY PACK / ハッピーパック 他）
20230929,1376,カネコ種苗,スタンダード（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,5070001000715,5070001000715,群馬県前橋市古市町１丁目５０番地１２,カネコ種苗株式会社,かねこしゅびょう,2018-07-09T00:00:00+09:00,,"１．野菜・飼料作物・花の種子の育種・バイテク研究
２．植物工場、養液栽培プラントの開発
３．種子生産
４．温室建築、造園工事設計・施工
５．種苗・花き・農薬・施設園芸用諸資材卸売",752,代表取締役社長　　金子　昌彦,特許 2件（養液栽培装置及び養液栽培制御プログラム / 低カリウム野菜の栽培方法）  商標 16件（きぬちゃん / 恋こがね / 栗かぐや / ルナスイート / ゴールドデント 他）
20230929,1377,サカタのタネ,プライム（内国株式）,50,水産・農林業,1,食品 ,6,TOPIX Small 1,6020001008662,6020001008662,神奈川県横浜市都筑区仲町台２丁目７番１号,株式会社サカタのタネ,さかたのたね,2021-06-18T00:00:00+09:00,,種苗卸売業,830,代表取締役社長　坂田　宏,特許 12件（新規カボチャ植物及びその製造方法 / S-メチルメチオニン高含有ブラシカオレラセア植物 / ハキリバチ属のハチを用いるLactuca属植物種子の生産方法 / 八重咲ペンタス植物、及びその育成方法 / スイートコーン及びその製造方法 他） 意匠 2件（園芸用ラベル / 播種機） 商標 162件（ララサクラ / ララブルー / リオホワイト / BROLEAF / 寒締め吾郎丸 他）
20230929,1379,ホクト,プライム（内国株式）,50,水産・農林業,1,食品 ,6,TOPIX Small 1,6100001003151,6100001003151,長野県長野市大字南堀１３８番地１,ホクト株式会社,ほくと,2018-04-12T00:00:00+09:00,http://www.hokto-kinoko.co.jp,きのこの生産・販売,3421,代表取締役社長　　水野　雅義,特許 9件（キノコ栽培用容器の組立装置 / ブナシメジ栽培ビンキャップ及びブナシメジの栽培方法 / ブナシメジ栽培ビンキャップ並びにブナシメジの栽培及び収穫方法 / 脂肪酸代謝促進成分の抽出方法及び脂肪酸代謝促進剤 / 血管内皮細胞の遊走と増殖を促進する脂溶性抽出物およびその抽出方法、並びに血管新生促進剤及び創傷治癒剤 他） 意匠 2件（きのこ栽培用シート / きのこ栽培補助枠） 商標 17件（NEGATIVE FREE∞「食べる」を諦めない / NEGATIVE FREE / NEGATIVE FREE 「食べる」を諦めない / §HOKTO\一番採り 生どんこ / §HOKTO∞PET CARE 他）
20230929,1380,秋川牧園,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,9250001000008,9250001000008,山口県山口市仁保下郷１０３１７番地,株式会社秋川牧園,あきかわぼくえん,2021-07-09T00:00:00+09:00,https://www.akikawabokuen.com/,"製造卸売事業
宅配事業",350,代表取締役社長　　秋川　正,商標 2件（AKIKAWA∞FARM∞秋川牧園\そだてる、つくる、たべる / AKIKAWA∞秋川牧園）
20230929,1381,アクシーズ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,5340001000258,5340001000258,鹿児島県鹿児島市草牟田２丁目１番８号,株式会社アクシーズ,あくしーず,2018-10-03T00:00:00+09:00,http://www.axyz-grp.co.jp,鶏肉及びその加工食品の製造販売,934,代表取締役社長　　伊地知　高正,
20230929,1382,ホーブ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,9450001002677,9450001002677,北海道上川郡東神楽町１４号北１番地,株式会社ホーブ,ほーぶ,2021-10-07T00:00:00+09:00,,,35,代表取締役社長　　政場　秀,商標 5件（ふじなつき / 富士夏媛 / なつみずき / 夏瑞 / コア 他）
20230929,1383,ベルグアース,スタンダード（内国株式）,50,水産・農林業,1,食品 ,-,-,9500001015681,9500001015681,愛媛県宇和島市津島町北灘甲８８番地１,ベルグアース株式会社,べるぐあーす,2019-02-26T00:00:00+09:00,http://www.bergearth.co.jp,"野菜苗の生産、販売
農産物の仕入販売
農業資材等仕入販売",320,代表取締役社長兼ＣＥＯ兼ＣＯＯ　 山口 一彦,商標 15件（ウイルスガード苗 / ツイン苗 / EARTH MIX / アース in ロック / 完熟頬張る\あさひトマト 他）
20230929,1384,ホクリヨウ,スタンダード（内国株式）,50,水産・農林業,1,食品 ,7,TOPIX Small 2,2430001028862,2430001028862,北海道札幌市白石区中央二条３丁目６番１５号,株式会社ホクリヨウ,ほくりよう,2021-10-11T00:00:00+09:00,,,540,代表取締役社長　　米山　大介,商標 4件（卵々王 / 遊々卵 / §H / ホクリヨウ）
20230929,1397,ＳＭＤＡＭ　日経２２５上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1400,ルーデン・ホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,1011101035809,1011101035809,東京都渋谷区桜丘町２０番１号渋谷インフォスタワー２Ｆ,ルーデン・ホールディングス株式会社,るーでんほーるでぃんぐす,2018-08-16T00:00:00+09:00,,,3,代表取締役社長　　　西岡　勇人,
20230929,1401,エムビーエス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,9250001004074,9250001004074,山口県宇部市大字西岐波１１７３番地１６２,株式会社エムビーエス,えむびーえす,2018-09-18T00:00:00+09:00,,,91,代表取締役社長　　山　本　貴　士,特許 3件（コンクリート構造物、コンクリート構造物の製造方法、およびコンクリート構造物の劣化診断方法 / コンクリートのコーティング構造、および、コンクリート表面のコーティング方法 / 対象物管理サーバ及び対象物管理システム）  商標 4件（ViewTuber / Infolike / info\like. / 列島リフォーム）
20230929,1407,ウエストホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,9240001016913,9240001016913,広島県広島市西区楠木町１丁目１５番２４号,株式会社ウエストホールディングス,うえすとほーるでぃんぐす,2018-07-20T00:00:00+09:00,,,33,代表取締役社長　　江　頭　栄 一 郎,特許 1件（排出権管理システム）  商標 10件（でんきの広場 / ウエストアグリソーラー / コアラネット\COALA net / ココアライアンス\CoCo Alliance / CoCoLo\プロジェクト 他）
20230929,1414,ショーボンドホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400,8010001135778,8010001135778,東京都中央区日本橋箱崎町７番８号,ショーボンドホールディングス株式会社,しょーぼんどほーるでぃんぐす,2019-10-15T00:00:00+09:00,,,12,代表取締役社長　　岸　本　達　也,
20230929,1417,ミライト・ワン,プライム（内国株式）,2050,建設業,3,建設・資材 ,4,TOPIX Mid400,6010601040090,6010601040090,東京都江東区豊洲５丁目６番３６号,株式会社ミライト・ワン,みらいとわん,2022-08-12T00:00:00+09:00,https://www.mirait-one.com/esg/diversity-inclusion/,"・街づくり・里づくり/企業DX・GX
・グリーン発電事業
・ソフトウェア事業
・グローバル事業
・ICTソリューション事業
・環境・社会イノベーション事業
・モバイルネットワーク事業
・通信インフラ事業",4290,代表取締役社長　中山　俊樹,特許 22件（太陽電池モジュールの異常検出用の飛行体及びその飛行制御方法 / 異常太陽電池モジュールの探索方法及び異常太陽電池モジュールの探索装置 / 光アダプタ保持構造、光アダプタ、光コネクタの挿抜方法及び光ケーブルの曲げ半径の確認方法 / 内角調整機能付機器取付金具 / 落雷警報装置 他） 意匠 6件（携帯用警報器 / 看板 / 手持ち式工具用環金具留め具 / 表示シール / 墜落防止安全帯用フック 他） 商標 24件（MIRAIT\ONE / MIRAIT ONE / ミライト・ワン / MIRATEC\ミラテク / 店舗DX革命 他）
20230929,1418,インターライフホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,4011501016216,4011501016216,東京都中央区銀座６丁目１３番１６号銀座ウォールビル１１階,インターライフホールディングス株式会社,いんたーらいふほーるでぃんぐす,2018-06-13T00:00:00+09:00,,,8,代表取締役社長    貴田  晃司,
20230929,1419,タマホーム,プライム（内国株式）,2050,建設業,3,建設・資材 ,6,TOPIX Small 1,7010401057862,7010401057862,東京都港区高輪３丁目２２番９号,タマホーム株式会社,たまほーむ,2022-06-08T00:00:00+09:00,http://www.tamahome.jp/,建築、設計、不動産業、保険代理店業,3506,代表取締役社長    玉木  伸弥,商標 36件（TH / §TH∞Tama Home. / タマホーム\TamaHome / Tama・H / 大安心の家 他）
20230929,1420,サンヨーホームズ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,3120001039510,3120001039510,大阪府大阪市西区西本町１丁目４番１号,サンヨーホームズ株式会社,さんよーほーむず,2018-04-26T00:00:00+09:00,http://www.sanyohomes.co.jp/,戸建・マンション販売、中古流通、リフォーム、建築・施工管理,588,代表取締役社長　　松岡　久志,特許 1件（屋内におけるユーザの動作補助システム）  商標 24件（マルチシェルター / ファミリィSOHO / サンヨーホームズコミュニティ / ゆとりモア / SANSTORAGE 他）
20230929,1429,日本アクア,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,4020001061696,4020001061696,東京都港区港南２丁目１６番２号,株式会社日本アクア,にほんあくあ,2018-04-19T00:00:00+09:00,https://www.n-aqua.jp/,建築断熱用硬質ウレタンフォーム「アクアフォーム」販売・施工 住宅省エネルギー関連部材の開発・製造・販売,438,代表取締役社長　中村　文隆,特許 8件（ウレタンフォーム形成システム / 建築物の断熱方法および建築物用断熱材のリサイクル方法 / ウレタン樹脂組成物および建築物の断熱方法 / ウレタン樹脂組成物用原料および建築物の断熱方法 / 現場発泡ウレタン式の防蟻断熱材およびその評価方法、ならびに防蟻断熱材用の原料液 他） 意匠 1件（通気スペーサ） 商標 17件（アクアモエンNEXT / アクアモエンNEO / アクアシーラント / アクアフォームLITE / アクアハーデン 他）
20230929,1430,ファーストコーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,2012701011066,2012701011066,東京都杉並区荻窪４丁目３０番１６号,ファーストコーポレーション株式会社,ふぁーすとこーぽれーしょん,2018-05-23T00:00:00+09:00,,分譲マンションに特化した建設工事の施工を中心に、マンション・デベロッパーへの事業化提案も行う「分譲マンション建設事業」,172,代表取締役社長　中村　利秋,商標 11件（Verrio\ヴェリオ / ウェルビーイングシティ構想 / ウェルビーイング住宅∞CANVAS∞キャンバス / ウェルビーイング・サービス / ウェルビーイング住宅 他）
20230929,1431,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,7330001010363,7330001010363,熊本県山鹿市鍋田１７８番地１,株式会社Ｌｉｂ　Ｗｏｒｋ,りぶわーく,2018-04-05T00:00:00+09:00,,,277,代表取締役社長　　瀬口　力,商標 11件（マイルームツアー / マイホームロボ / 住宅ロボアドバイザー / 建築ロボアドバイザー / sketch 他）
20230929,1432,動力,PRO Market,2050,建設業,3,建設・資材 ,-,-,,,,,,,,,,,
20230929,1433,ベステラ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,7010601021305,7010601021305,東京都江東区平野３丁目２番６号,ベステラ株式会社,べすてら,2019-05-07T00:00:00+09:00,,,80,代表取締役社長　　本田　豊,特許 5件（塔型風力発電設備の解体方法 / 土壌浄化システム及び土壌浄化方法 / 配管の閉塞方法及び配管の切断方法 / 基礎部を活用した塔状建造物の倒し方法 / 発電用風車の倒し方法 他） 意匠 1件（検査データ取得ロボット） 商標 1件（脱炭素解体）
20230929,1434,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,1011101008616,1011101008616,東京都新宿区新宿２丁目１番９号,ＪＥＳＣＯホールディングス株式会社,じぇすこほーるでぃんぐす,2021-09-14T00:00:00+09:00,,,25,代表取締役会長兼CEO　柗本　俊洋,
20230929,1435,Ｒｏｂｏｔ　Ｈｏｍｅ,プライム（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,3290001025873,3290001025873,東京都中央区銀座７丁目４番１５号,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,ろぼっとほーむ,2022-04-14T00:00:00+09:00,https://corp.robothome.jp/,"不動産事業
AI・IoT事業",250,代表取締役CEO　 古木　大咲,商標 2件（ROBOT HOME / ロボットホーム）
20230929,1436,フィット,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,6480001006042,6480001006042,徳島県板野郡松茂町中喜来字群恵３９番地１,株式会社フィット,ふぃっと,2022-08-03T00:00:00+09:00,https://www.fit-group.jp/,"建設業
不動産
再生エネルギー",136,代表取締役社長　　鈴江　崇文,
20230929,1438,岐阜造園,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,4200001001361,4200001001361,岐阜県岐阜市茜部菱野４丁目７９番地の１,株式会社岐阜造園,ぎふぞうえん,2019-01-04T00:00:00+09:00,https://www.gifu-zohen.co.jp/,造園緑化事業、住宅エクステリア事業、建売住宅の企画・販売,115,代表取締役社長　　山田　準,
20230929,1439,安江工務店,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,5180001024430,5180001024430,愛知県名古屋市中区栄２丁目２番２３号,株式会社安江工務店,やすえこうむてん,2022-10-21T00:00:00+09:00,,,166,代表取締役社長　　山本　賢治,商標 27件（N-Basic / §N‐Basic / 塗PLUS / 塗プラス / §塗 他）
20230929,1440,やまぜんホームズ,PRO Market,2050,建設業,3,建設・資材 ,-,-,,,,,,,,,,,
20230929,1443,技研ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,2011301023802,2011301023802,東京都千代田区神田東松下町１７番地,技研ホールディングス株式会社,ぎけんほーるでぃんぐす,2020-07-27T00:00:00+09:00,,,1,代表取締役社長　　佐々木　ベジ,
20230929,1444,ニッソウ,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,3010901009251,3010901009251,東京都世田谷区経堂１丁目８番１７号,株式会社ニッソウ,にっそう,2020-04-14T00:00:00+09:00,,,57,代表取締役社長　　前田　浩,
20230929,1445,ひかりホールディングス,PRO Market,2050,建設業,3,建設・資材 ,-,-,,,,,,,,,,,
20230929,1446,キャンディル,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2,6010001162361,6010001162361,東京都新宿区北山伏町１番１１号,株式会社キャンディル,きゃんでぃる,2018-05-08T00:00:00+09:00,,,45,代表取締役社長　林　晃生,商標 14件（バーンリペア / §ツナゲルクラウド / ツナゲルクラウド / 株式会社キャンディルパートナーズ / ツナゲル 他）
20230929,1447,ＩＴｂｏｏｋホールディングス,グロース（内国株式）,2050,建設業,3,建設・資材 ,-,-,6010001195295,6010001195295,東京都江東区豊洲３丁目２番２４号,ＩＴｂｏｏｋホールディングス株式会社,あいてぃぶっくほーるでぃんぐす,2022-09-21T00:00:00+09:00,,,21,代表取締役社長　　前　俊守,
20230929,1450,田中建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,7010401017288,7010401017288,東京都港区東新橋１丁目９番１号,田中建設工業株式会社,たなかけんせつこうぎょう,2023-06-07T00:00:00+09:00,,,101,代表取締役社長執行役員　中尾　安志,
20230929,1451,ＫＨＣ,スタンダード（内国株式）,2050,建設業,3,建設・資材 ,-,-,7140001034712,7140001034712,兵庫県明石市花園町２番地の２,株式会社ＫＨＣ,,2018-04-11T00:00:00+09:00,,,15,代表取締役社長　　渡辺　喜夫,商標 1件（§KHC∞KHC）
20230929,1452,横浜ライト工業,PRO Market,2050,建設業,3,建設・資材 ,-,-,,,,,,,,,,,
20230929,1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1464,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1465,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００インバース・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1481,上場インデックスファンド日本経済貢献株,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,-,-,-,-,-,-,,,,,,,,,,,
20230929,1491,中外鉱業,スタンダード（内国株式）,3500,非鉄金属,7,鉄鋼・非鉄 ,-,-,7010001008720,7010001008720,東京都千代田区丸の内２丁目４番１号,中外鑛業株式会社,ちゅうがいこうぎょう,2018-07-18T00:00:00+09:00,,,126,代表取締役社長　　西元　丈夫,
